row,Fecha,Abrir,Alto,Bajo,Cierre*,Cierre ajustado**,Volumen
0,2022-03-18,3136.26,3231.88,3120.22,3225.01,3225.01,4866459
1,2022-03-18,3136.26,3231.88,3120.22,3225.01,3225.01,5141300
2,2022-03-17,3052.81,3149.97,3042.8,3144.78,3144.78,3646700
3,2022-03-16,2970.0,3063.0,2947.07,3062.08,3062.08,4247900
4,2022-03-15,2857.0,2959.7,2840.0,2947.33,2947.33,3779200
5,2022-03-14,2919.62,2949.0,2817.68,2837.06,2837.06,3704300
6,2022-03-11,2991.49,2993.5,2907.38,2910.49,2910.49,3440500
7,2022-03-10,2913.7,2973.49,2879.56,2936.35,2936.35,6753100
8,2022-03-09,2790.0,2805.0,2736.56,2785.58,2785.58,4132800
9,2022-03-08,2733.67,2813.99,2671.45,2720.29,2720.29,4583100
10,2022-03-07,2908.87,2921.89,2748.33,2749.06,2749.06,4346700
11,2022-03-04,2943.18,2957.0,2876.14,2912.82,2912.82,3046700
12,2022-03-03,3070.63,3078.58,2937.12,2957.97,2957.97,3259900
13,2022-03-02,3016.98,3059.99,2975.0,3041.05,3041.05,2366700
14,2022-03-01,3054.65,3081.98,2999.54,3022.84,3022.84,2243700
15,2022-02-28,3048.5,3089.0,3017.0,3071.26,3071.26,2878500
16,2022-02-25,3011.0,3079.8,2984.27,3075.77,3075.77,3119800
17,2022-02-24,2796.75,3034.98,2790.0,3027.16,3027.16,5039300
18,2022-02-23,3033.01,3035.26,2893.02,2896.54,2896.54,3212200
19,2022-02-22,3009.57,3059.65,2969.71,3003.95,3003.95,3306400
20,2022-02-18,3109.99,3109.99,3017.86,3052.03,3052.03,3180200
21,2022-02-17,3162.92,3206.98,3090.0,3093.05,3093.05,3201600
22,2022-02-16,3115.81,3176.68,3094.69,3162.01,3162.01,2635200
23,2022-02-15,3152.11,3160.14,3092.75,3130.21,3130.21,2822000
24,2022-02-14,3035.02,3168.97,3033.0,3103.34,3103.34,4161500
25,2022-02-11,3162.69,3180.0,3054.68,3065.87,3065.87,3855000
26,2022-02-10,3167.0,3214.33,3155.0,3180.07,3180.07,3413400
27,2022-02-09,3257.47,3276.69,3205.0,3223.79,3223.79,3439300
28,2022-02-08,3135.01,3235.85,3111.01,3228.27,3228.27,3802000
29,2022-02-07,3170.4,3253.82,3145.0,3158.71,3158.71,5131200
30,2022-02-04,3112.13,3224.0,3012.16,3152.79,3152.79,12672800
31,2022-02-03,2834.75,2884.95,2766.66,2776.91,2776.91,11276600
32,2022-02-02,3101.01,3101.5,2977.27,3012.25,3012.25,4366500
33,2022-02-01,3000.0,3034.16,2952.55,3023.87,3023.87,2961000
34,2022-01-31,2895.0,3007.21,2886.01,2991.47,2991.47,3915400
